"","size","rep","tau","alph","r0","degAssort","clustering","pathLen","n_components","r","q","time_steps","peak_size","peak_time","tot_inf","prev_1","prev_2","prev_ratio","r_actual"
"6443",1000,111,0.02,1.5,0.4,0.0153623424697161,0.0445350835421023,7,1,0.6,0.316632927870874,0.259006176918749,1,0,0.001,0,0.002,0,0.633541603183876
"6444",1000,111,0.02,1.5,0.4,0.079830152930358,0.099844022556738,8,1,0.9,0.46611078974134,0.00758437410731184,1,0,0.001,0.002,0,Inf,0.934823600737596
"6445",1000,112,0.02,1.5,0.4,-0.0318643767695334,0.0308053444880795,5,1,0,-0.0150805274398923,0.482867986086698,1,0,0.001,0.002,0,Inf,-0.0302420614936591
"6446",1000,112,0.02,1.5,0.4,0.0047196396420865,0.0358369075173042,6,1,0.3,0.167361462521969,0.78435348418475,1,0,0.001,0.002,0,Inf,0.334750203234037
"6447",1000,112,0.02,1.5,0.4,0.027032098697772,0.0504474168303558,7,1,0.6,0.313543941755055,1.63980735508845,1,0,0.001,0,0.002,0,0.630753071391059
"6448",1000,112,0.02,1.5,0.4,0.0245039619904993,0.0899115932033356,8,1,0.9,0.467406713621305,0.258953535417886,1,0,0.001,0,0.002,0,0.934992560412637
"6449",1000,113,0.02,1.5,0.3,-0.00973320812309054,0.0303401990280028,5,1,0,0.00844990337109625,1.11954347831012,2,0.778598938059314,0.002,0,0.004,0,0.0169567981270337
"6450",1000,113,0.02,1.5,0.4,-0.00203190696522727,0.0349657896440828,6,1,0.3,0.139854266913076,0.0318721987097067,1,0,0.001,0.002,0,Inf,0.279857470709023
"6451",1000,113,0.02,1.5,0.4,-0.019176886516641,0.0496902813076797,8,1,0.6,0.313910316707394,0.928634429591715,1,0,0.001,0,0.002,0,0.631279582346311
"6452",1000,113,0.02,1.5,0.4,0.0497026810691462,0.0971203526393757,7,1,0.9,0.466744888627769,0.357340549912339,1,0,0.001,0,0.002,0,0.933780768515029
"6453",1000,114,0.02,1.5,0.3,-0.0160513546892583,0.02936344733305,5,1,0,0.00180352491778243,1.07544213357865,1,0,0.001,0,0.002,0,0.00362670669978597
"6454",1000,114,0.02,1.5,0.4,-0.0176008900392063,0.036408610073154,6,1,0.3,0.138099675153847,0.606454158049493,1,0,0.001,0.002,0,Inf,0.276207453060617
"6455",1000,114,0.02,1.5,0.4,0.0113486776945112,0.0486901111632692,7,1,0.6,0.312913042034831,0.12096283916446,1,0,0.001,0.002,0,Inf,0.634901542595881
"6456",1000,114,0.02,1.5,0.4,0.074992410526111,0.0973613697261456,8,1,0.9,0.464175897803742,0.0533333113511588,1,0,0.001,0.002,0,Inf,0.933438671021466
"6457",1000,115,0.02,1.5,0.4,-0.012642817788396,0.0317093913254769,5,1,0,0.00192374515723709,0.089009552972289,1,0,0.001,0.002,0,Inf,0.00385044110467405
"6458",1000,115,0.02,1.5,0.4,0.00016122050894255,0.0351976120963876,6,1,0.3,0.16699035924222,0.465641397430721,1,0,0.001,0.002,0,Inf,0.333987828261561
