"","size","rep","tau","delt","alph","mod","psi","r0","degAssort","clustering","pathLen","n_components","r","q","time_steps","peak_size","peak_time","tot_inf","prev_m","prev_f","prev_ratio","prev_l","r_actual"
"142",1000,1,0.1,"0.05",1,"i",0.1,3.30959545302574,0.00275203001469851,0.0470653601373876,6,1,0.6,0.31121931491566,199.998126513787,56,139.645216849491,37.1953869164764,NA,NA,1.01764842288474,269.900617376901,0.623206659253171
"143",1000,2,0.1,"0.05",1,"i",0.1,3.03233032430625,-0.0105775195455304,0.0317871594429805,5,1,0,0.0202386698711984,199.982830251868,58,49.1876466321431,38.7644652250146,NA,NA,1.03310809189702,297.783967768825,0.0404872521050336
"144",1000,2,0.1,"0.05",1,"i",0.1,3.42657973921765,-0.0251812643456622,0.0479758803383778,8,1,0.6,0.315429417641088,199.979174779533,54,177.655544413469,35.5157043147208,NA,NA,0.919419577881495,256.951062271062,0.630880186003806
"145",1000,3,0.1,"0.05",1,"i",0.1,3.07572718154463,-0.0174435107741797,0.0324148051524539,5,1,0,-0.00947679548173103,199.960510731695,55,100.327786911842,38.5629090374292,NA,NA,0.997539856072795,289.174996419877,-0.0189592336685969
"146",1000,3,0.1,"0.05",1,"i",0.1,3.33176195252424,-0.00519337558184165,0.0457286785144451,7,1,0.6,0.312403529545507,199.998162488621,62,60.0970055859798,37.5806898675701,NA,NA,1.13972094106661,265.845531976325,0.626105340377575
"147",1000,4,0.1,"0.05",1,"i",0.1,3.02564359745904,-0.0251020364364839,0.0300341447782799,5,1,0,0.00711846673420455,199.996666868246,61,134.707565550917,38.3604469273743,NA,NA,1.03365146141934,303.379258653584,0.0142370159678754
"148",1000,4,0.1,"0.05",1,"i",0.1,3.29030424607155,0.0151880491956945,0.0473413065347058,7,1,0.6,0.315853156259149,199.985705976495,60,137.788462369385,38.223027495517,NA,NA,1.02370419490598,277.214255765199,0.632714598391399
"149",1000,5,0.1,"0.05",1,"i",0.1,3.01257104647275,-0.0291126124052169,0.0299647082325261,5,1,0,-0.00909820736029554,199.995765237302,57,48.3823740703752,39.8595694830868,NA,NA,1.07226993777962,303.037748257267,-0.0182319244652361
"150",1000,5,0.1,"0.05",1,"i",0.1,3.31370779003678,0.011435033843342,0.0487019866213312,7,1,0.6,0.315954161380833,199.998972620786,58,84.6230873969974,38.582979368932,NA,NA,1.10923513084793,264.417798324184,0.632280843486507
"151",1000,6,0.1,"0.05",1,"i",0.1,2.97268472082915,-0.0117200663138971,0.0308053940368675,5,1,0,-0.01220449714238,199.961058668657,59,45.3662785234657,38.3071254881733,NA,NA,1.02037220607418,290.950033852404,-0.0244515642202204
