"","size","rep","tau","degAssort","clustering","pathLen","r","q","time_steps","peak_size","peak_time","tot_inf","prev_1","prev_2","prev_ratio"
"7493",1500,50,0.375,0.00436021420338452,0.0259656727374419,6,0.172336409516909,0.0861534335649701,10.5424211828315,522,1.11558383737655,0.838,0.849333333333333,0.826666666666667,1.02741935483871
"7494",1500,50,0.375,0.0379148077021891,0.0298678050123933,7,0.33495624449515,0.167146637965309,8.6288803876351,516,1.12280833001921,0.821333333333333,0.814666666666667,0.828,0.98389694041868
"7495",1500,50,0.375,0.0222797018856394,0.032949123254855,6,0.402333984868692,0.20064850252721,7.01466691858721,493,1.29345406060322,0.805333333333333,0.805333333333333,0.805333333333333,1
"7496",1500,50,0.375,0.0248432551492334,0.038138714856909,6,0.509804060231797,0.254129733526282,8.5358444999449,502,1.23288921507911,0.784666666666667,0.781333333333333,0.788,0.991539763113367
"7497",1500,50,0.375,0.0198753372991108,0.0445392610505267,7,0.634190218987006,0.317085125494811,9.09348443756623,518,0.928407163342411,0.776666666666667,0.805333333333333,0.748,1.07664884135472
"7498",1500,50,0.375,0.0536055624898384,0.0533377059164563,7,0.733326817061646,0.366654448955805,8.77136267389762,506,0.853120611868213,0.760666666666667,0.756,0.765333333333333,0.98780487804878
"7499",1500,50,0.375,0.100611110331782,0.0694264744933416,7,0.833514715812051,0.416709749938532,7.7911558528433,450,0.909922550932565,0.714,0.752,0.676,1.11242603550296
"7500",1500,50,0.375,0.137990385897225,0.103929450243776,8,0.934798888088882,0.467370403242468,8.91739850896925,497,0.694796091792637,0.724666666666667,0.733333333333333,0.716,1.02420856610801
"7501",500,51,0.375,-0.0400297492998477,0.0517028836624689,4,0.00111407142333118,0.000556983753628448,6.11212496163348,193,1.20711470391222,0.864,0.876,0.852,1.02816901408451
"7502",500,51,0.375,0.0201065880634522,0.0634909143560414,5,0.133421001363725,0.0665417049581189,6.66388709919079,154,1.08506662747503,0.802,0.784,0.82,0.95609756097561
"7503",500,51,0.375,0.0125093535277195,0.066285740617008,5,0.226070966397158,0.112493957710043,8.06717013083559,167,1.39545288096815,0.82,0.788,0.852,0.924882629107981
"7504",500,51,0.375,-0.00328303480096191,0.0664439911228676,5,0.325198283337459,0.162513592622131,11.1769583721492,168,1.13301873126542,0.808,0.796,0.82,0.970731707317073
"7505",500,51,0.375,0.0265501713557723,0.0763561969290334,6,0.431622065581269,0.215135804768247,7.21139970027994,157,1.30357252834773,0.752,0.728,0.776,0.938144329896907
"7506",500,51,0.375,0.0209519489927478,0.0888069495656521,6,0.53478708119404,0.267381026602269,10.5869850699759,162,0.796111617680104,0.73,0.724,0.736,0.983695652173913
"7507",500,51,0.375,0.024351927866843,0.102626536803449,6,0.624625763546096,0.312043366840884,8.27542140742974,173,0.83976895283643,0.762,0.732,0.792,0.924242424242424
"7508",500,51,0.375,0.07226485180411,0.134614291399011,8,0.727807146742385,0.362612779291443,5.31377795707685,175,1.2083813197596,0.752,0.744,0.76,0.978947368421053
"7509",500,51,0.375,0.131004487507027,0.17436848709695,7,0.83246869362824,0.41191988955868,7.02076816732048,178,0.965177291002544,0.736,0.768,0.704,1.09090909090909
